Title,Year,Genre,Rating
The Shawshank Redemption,1994,Drama,9.3
The Godfather,1972,Crime,9.2
The Dark Knight,2008,Action,9.0
The Godfather Part II,1974,Crime,9.0
12 Angry Men,1957,Drama,9.0
Schindler's List,1993,Drama,9.0
The Lord of the Rings,2003,Adventure,8.9
Pulp Fiction,1994,Crime,8.9
The Good the Bad and the Ugly,1966,Western,8.8
Forrest Gump,1994,Drama,8.8
Fight Club,1999,Drama,8.8
Inception,2010,Action,8.8
The Lord of the Rings: Fellowship,2001,Adventure,8.8
Star Wars,1977,Sci-Fi,8.6
The Matrix,1999,Sci-Fi,8.7
Goodfellas,1990,Crime,8.7
One Flew Over the Cuckoo's Nest,1975,Drama,8.7
Interstellar,2014,Sci-Fi,8.7
City of God,2002,Crime,8.6
Saving Private Ryan,1998,War,8.6
The Green Mile,1999,Drama,8.6
Parasite,2019,Thriller,8.5
Gladiator,2000,Action,8.5
The Prestige,2006,Drama,8.5
The Departed,2006,Crime,8.5
Whiplash,2014,Drama,8.5
The Lion King,1994,Animation,8.5
The Pianist,2002,Drama,8.5
Back to the Future,1985,Comedy,8.5
American History X,1998,Drama,8.5
Terminator 2,1991,Action,8.6
Modern Times,1936,Comedy,8.5
Psycho,1960,Horror,8.5
The Intouchables,2011,Comedy,8.5
Django Unchained,2012,Western,8.4
The Dark Knight Rises,2012,Action,8.4
Memento,2000,Mystery,8.4
Alien,1979,Horror,8.4
Apocalypse Now,1979,War,8.4
The Great Dictator,1940,Comedy,8.4
The Lives of Others,2006,Drama,8.4
Joker,2019,Crime,8.4
Avengers Endgame,2019,Action,8.4
Toy Story,1995,Animation,8.3
Coco,2017,Animation,8.4
Up,2009,Animation,8.3
WALL-E,2008,Animation,8.4
Braveheart,1995,Drama,8.3
Amelie,2001,Romance,8.3
A Beautiful Mind,2001,Biography,8.2
The Wolf of Wall Street,2013,Comedy,8.2
Shutter Island,2010,Mystery,8.2
The Truman Show,1998,Comedy,8.2
The Sixth Sense,1999,Thriller,8.2
No Country for Old Men,2007,Crime,8.2
There Will Be Blood,2007,Drama,8.2
The Grand Budapest Hotel,2014,Comedy,8.1
Blade Runner 2049,2017,Sci-Fi,8.0
Mad Max Fury Road,2015,Action,8.1
The Revenant,2015,Adventure,8.0
La La Land,2016,Musical,8.0
The Social Network,2010,Biography,7.8
Her,2013,Romance,8.0
Moonlight,2016,Drama,7.4
Get Out,2017,Horror,7.7
A Quiet Place,2018,Horror,7.5
Knives Out,2019,Mystery,7.9
Ford v Ferrari,2019,Sport,8.1
The Imitation Game,2014,Biography,8.0
Hidden Figures,2016,Biography,7.8
The Martian,2015,Sci-Fi,8.0
Arrival,2016,Sci-Fi,7.9
Gravity,2013,Sci-Fi,7.7
The Notebook,2004,Romance,7.8
Titanic,1997,Romance,7.9
The Fault in Our Stars,2014,Romance,7.7
About Time,2013,Romance,7.8
The Hangover,2009,Comedy,7.7
Superbad,2007,Comedy,7.6
21 Jump Street,2012,Comedy,7.2
Pirates of the Caribbean,2003,Adventure,8.1
Jurassic Park,1993,Adventure,8.2
Avatar,2009,Action,7.8
Avengers Infinity War,2018,Action,8.4
Iron Man,2008,Action,7.9
Black Panther,2018,Action,7.3
Spider-Man,2002,Action,7.4
Spider-Man: No Way Home,2021,Action,8.2
Harry Potter and the Prisoner of Azkaban,2004,Fantasy,7.9
Harry Potter and the Deathly Hallows,2011,Fantasy,8.1
The Hobbit,2012,Fantasy,7.8
Pan's Labyrinth,2006,Fantasy,8.2
The Conjuring,2013,Horror,7.5
It,2017,Horror,7.3
The Exorcist,1973,Horror,8.1
A Nightmare on Elm Street,1984,Horror,7.4
The Silence of the Lambs,1991,Thriller,8.6
Se7en,1995,Thriller,8.6
Zodiac,2007,Thriller,7.7
Gone Girl,2014,Thriller,8.1
The Usual Suspects,1995,Mystery,8.5
The Girl with the Dragon Tattoo,2011,Mystery,7.8
The Batman,2022,Action,7.8
Oppenheimer,2023,Biography,8.6
